ie,contribution,pension
11744.755516571538,1291.9231068228692,0.0
6944.972825665837,763.9470108232421,0.0
6370.799932737911,700.7879926011702,0.0
31079.381947599708,3418.7320142359677,0.0
12341.817287856658,1357.5999016642322,0.0
8453.952485862677,929.9347734448944,0.0
12050.14350080616,1325.5157850886776,0.0
1341.3370139316266,147.54707153247892,0.0
6185.358241974396,680.3894066171835,0.0
3355.457208577831,369.1002929435614,0.0
18325.14881513744,2015.7663696651182,0.0
8923.204825470444,981.5525308017488,0.0
28085.0662336757,3089.3572857043273,0.0
17214.08356208496,1893.5491918293455,0.0
4398.004194238236,483.780461366206,0.0
14321.393823665521,1575.3533206032073,0.0
6816.740817235342,749.8414898958875,0.0
11009.829146365024,1211.0812061001525,0.0
14804.31985008384,1628.4751835092227,0.0
6917.709042981015,760.9479947279117,0.0
24463.30329302613,2690.9633622328743,0.0
14709.880485762353,1618.086853433859,0.0
12138.763327260061,1335.2639659986066,0.0
3769.2857878905943,414.62143666796544,0.0
8399.89397908771,923.9883376996482,0.0
6712.166185779172,738.3382804357091,0.0
27667.57523691047,3043.433276060152,0.0
90552.9777629482,9960.827553924302,0.0
13189.241505139955,1450.816565565395,0.0
1958.7709804249318,215.4648078467425,0.0
4405.818504741429,484.64003552155714,0.0
26861.323351373823,2954.7455686511203,0.0
5506.6078004562005,605.726858050182,0.0
125494.43773225372,13804.38815054791,0.0
3338.790571667088,367.2669628833797,0.0
25478.31252791832,2802.614378071015,0.0
12659.831696411482,1392.5814866052629,0.0
8104.341203337649,891.4775323671414,0.0
8477.242842166062,932.4967126382669,0.0
7493.779562863788,824.3157519150167,0.0
23296.363896860646,2562.6000286546714,0.0
6511.32758070166,716.2460338771825,0.0
13130.034168121287,1444.3037584933415,0.0
6499.570475926814,714.9527523519496,0.0
58445.80351665207,6429.038386831728,0.0
30715.448113346003,3378.6992924680603,0.0
16053.628151343983,1765.899096647838,0.0
8471.926135447742,931.9118748992515,0.0
6824.532785939095,750.6986064533005,0.0
19342.800240047636,2127.70802640524,0.0
8564.257589802795,942.0683348783074,0.0
12083.526079875042,1329.1878687862547,0.0
7318.72694881909,805.0599643700999,0.0
29531.93316196528,3248.5126478161806,0.0
19502.123150686613,2145.2335465755277,0.0
14419.525257972935,1586.1477783770229,0.0
25908.022005915886,2849.8824206507475,0.0
8729.606139830848,960.2566753813933,0.0
8754.14065704875,962.9554722753625,0.0
25170.293353748184,2768.7322689123,0.0
12868.360101657461,1415.519611182321,0.0
18389.44829331923,2022.8393122651153,0.0
12948.452328744088,1424.3297561618497,0.0
11924.641572979319,1311.710573027725,0.0
3384.5749173474815,372.303240908223,0.0
11024.939427649326,1212.7433370414258,0.0
3716.4591341678884,408.8105047584677,0.0
4269.786992924215,469.67656922166367,0.0
6092.933006006478,670.2226306607126,0.0
66111.43484608327,7272.2578330691595,0.0
23001.82431540133,2530.200674694146,0.0
13272.410362874858,1459.9651399162344,0.0
19887.801875753234,2187.6582063328556,0.0
37873.05118679721,4166.0356305476935,0.0
8448.432358073182,929.32755938805,0.0
4007.5865251255514,440.83451776381065,0.0
13009.882564831098,1431.0870821314206,0.0
26325.956156454347,2895.855177209978,0.0
